CGPA,Attendance,Coding_Score,Aptitude_Score,Communication_Score,Internships,Projects,Placed
5.61,62,94,68,77,3,3,1
6.91,70,84,55,62,1,0,1
8.83,96,74,46,43,2,3,1
5.72,90,91,100,54,1,0,1
6.1,84,78,42,90,0,4,0
8.47,72,54,98,73,0,4,1
8.46,56,52,55,85,3,0,1
8.08,67,53,78,46,0,3,1
8.33,58,67,96,89,0,0,1
7.61,80,57,36,45,1,1,1
6.21,79,50,87,60,0,4,0
6.66,84,83,78,76,0,1,1
5.87,65,47,82,61,2,4,1
9.36,61,65,94,45,0,4,1
7.8,85,74,91,72,2,2,1
6.92,98,82,46,77,0,1,1
7.22,64,59,72,53,0,1,0
9.55,93,89,54,98,3,2,1
5.74,67,61,32,40,3,3,0
7.81,85,96,58,80,2,1,1
7.43,61,96,61,76,0,0,0
7.93,96,57,55,99,1,2,1
5.09,96,73,45,93,3,1,1
9.19,90,70,54,86,1,3,1
9.47,74,92,83,81,3,1,1
7.71,58,52,57,41,3,4,1
8.34,61,77,85,45,0,0,1
9.43,55,61,94,95,3,2,1
8.39,98,86,70,59,1,4,1
5.73,99,62,80,46,3,3,1
7.77,96,53,100,60,2,4,1
7.91,67,68,58,46,0,4,1
7.04,76,63,48,77,0,3,1
8.53,75,85,95,85,2,4,1
9.48,76,57,70,71,2,2,1
9.44,82,66,74,80,2,1,1
7.16,63,36,44,87,3,4,1
5.54,80,97,32,47,0,2,0
9.73,63,66,40,88,2,1,1
9.03,69,85,82,91,3,1,1
5.6,64,94,75,38,2,4,1
9.42,78,94,59,83,1,2,1
9.18,96,76,86,41,1,4,1
7.49,62,49,47,45,0,3,1
7.84,78,48,80,88,3,1,1
6.92,70,58,77,79,1,4,1
5.26,80,89,95,57,1,1,1
6.61,81,47,37,62,3,2,1
8.85,91,64,51,91,2,0,1
5.02,58,72,35,60,3,4,1
6.6,78,40,86,59,2,4,1
6.91,73,78,65,88,1,1,1
7.58,90,67,86,63,1,2,1
9.42,93,93,78,70,1,3,1
6.66,64,98,74,48,0,2,1
6.67,79,37,95,69,0,4,1
8.54,72,63,74,64,0,3,1
7.17,73,77,49,51,3,2,1
6.08,90,85,93,64,1,0,1
7.17,64,94,96,79,1,1,1
5.68,87,60,32,85,3,2,1
5.85,59,33,83,81,0,2,0
7.39,89,79,93,87,3,0,1
7.01,98,98,69,98,0,4,1
9.39,88,59,88,72,1,1,1
6.74,87,88,84,98,2,2,1
7.79,75,96,91,41,0,3,1
8.03,71,74,33,56,1,2,1
5.06,76,33,89,75,1,1,0
8.18,91,55,59,44,2,2,1
5.85,69,56,31,91,1,0,0
9.61,89,75,91,41,1,2,1
5.71,82,93,78,84,0,2,1
6.99,61,80,38,86,0,3,1
5.41,86,79,60,67,2,0,1
9.78,65,35,90,35,2,0,1
7.41,64,88,77,87,1,2,1
7.86,63,44,54,94,0,3,1
5.32,68,59,65,68,2,2,1
8.6,67,71,37,38,2,2,1
6.01,79,66,87,51,3,1,1
9.31,56,71,74,38,2,1,1
5.98,89,64,91,77,1,3,1
5.92,61,35,68,38,0,4,0
5.18,75,97,87,35,2,1,0
7.27,72,47,93,84,3,4,1
7.71,57,58,73,95,0,0,0
5.32,96,88,58,69,2,1,1
8.72,93,76,88,42,3,1,1
7.18,95,46,100,58,2,3,1
7.52,65,51,38,70,0,4,1
7.12,93,97,35,84,0,1,1
6.92,78,98,58,77,0,1,1
7.69,100,66,87,61,1,3,1
5.75,73,78,46,66,2,3,1
5.87,58,42,45,52,1,4,0
9.14,80,63,32,62,0,0,1
9.54,92,82,50,63,3,0,1
6.79,96,80,93,50,2,2,1
6.3,86,32,65,81,1,1,0
8.09,93,71,91,93,2,4,1
6.96,99,61,71,65,3,1,1
5.12,100,80,71,38,1,4,1
5.75,90,75,90,71,0,4,1
8.44,94,50,42,51,1,4,1
8.16,91,73,40,73,2,1,1
5.13,87,40,83,82,2,3,1
6.07,90,97,45,80,2,1,1
6.11,57,30,37,82,2,4,0
8.23,63,92,88,73,0,2,1
5.09,62,53,86,38,1,0,0
5.5,87,42,69,64,0,4,0
8.84,60,40,88,64,0,2,1
5.86,95,80,31,56,0,3,0
8.13,93,46,39,100,2,4,1
6.14,58,53,73,46,2,2,0
5.48,67,48,40,70,2,4,0
6.17,56,66,31,52,1,1,0
8.47,59,37,79,87,3,2,1
9.11,98,57,41,35,2,1,1
8.99,81,34,52,92,1,1,1
6.91,86,46,47,40,2,2,1
8.21,75,65,91,78,2,0,1
5.98,62,48,91,58,0,2,1
6.41,92,93,67,53,0,0,1
9.3,62,40,96,52,0,4,1
5.06,57,83,67,64,1,4,0
5.41,98,74,96,76,3,2,1
6.0,57,76,90,67,3,4,1
5.13,76,41,30,46,1,3,0
5.87,60,50,74,61,2,1,0
7.8,56,40,57,73,1,1,1
7.02,77,34,50,43,2,0,0
9.28,98,85,42,55,1,4,1
8.92,56,49,56,63,1,0,1
6.64,92,70,36,67,1,1,0
6.25,71,75,51,96,3,1,1
6.82,89,41,82,49,0,4,1
7.83,88,99,33,36,1,3,1
6.29,77,46,52,86,3,3,1
8.0,84,48,99,78,0,4,1
6.97,62,55,62,88,0,4,1
7.65,76,77,57,52,1,0,1
7.09,98,81,37,37,2,4,1
6.41,90,99,30,41,2,3,1
9.55,59,84,66,77,2,4,1
8.67,67,62,92,72,1,0,1
5.67,83,91,51,71,2,0,1
9.17,85,52,99,92,3,0,1
7.34,70,44,50,67,3,0,1
9.29,96,56,64,93,3,2,1
8.84,84,93,34,45,3,4,1
7.04,70,80,89,56,0,1,1
5.11,66,82,75,100,3,4,1
6.29,71,80,79,78,2,2,1
7.6,70,76,77,40,1,0,1
8.04,66,33,35,76,2,2,1
6.24,62,36,85,59,3,3,1
5.67,74,64,88,91,0,3,1
9.01,57,77,58,89,3,4,1
9.73,70,74,100,50,1,4,1
7.52,84,48,47,48,2,1,1
5.82,99,92,31,73,1,1,1
6.31,77,67,37,62,1,3,1
5.09,82,96,83,85,1,0,1
9.39,94,88,67,83,2,2,1
5.57,59,98,77,43,3,1,1
7.77,74,42,56,92,1,1,1
6.32,94,76,49,79,2,0,1
7.66,98,90,41,56,0,0,1
8.13,55,60,72,66,2,4,1
8.98,84,51,90,76,0,2,1
5.99,75,72,60,87,2,0,1
5.05,74,96,90,93,3,1,1
5.66,60,83,96,73,1,1,1
9.32,76,39,64,49,3,3,1
9.19,72,71,44,63,2,0,1
7.87,62,93,45,37,1,4,1
7.88,93,50,42,44,0,2,0
8.19,86,95,64,63,2,4,1
5.84,87,70,88,69,1,1,1
9.39,70,53,50,40,0,4,1
7.01,66,64,83,46,0,1,0
6.84,92,85,59,72,3,1,1
7.49,88,59,77,53,2,1,1
5.23,68,86,64,42,0,1,0
5.8,90,76,67,42,1,1,0
8.54,87,64,60,81,0,3,1
5.4,77,48,53,38,0,4,0
7.9,99,37,78,85,3,3,1
6.18,56,55,61,79,3,3,1
6.87,95,100,84,42,1,0,1
6.39,75,59,87,50,3,0,1
6.71,56,36,32,43,0,0,0
8.45,81,96,98,94,0,2,1
6.43,63,94,39,49,3,0,1
7.72,55,65,54,75,0,4,1
7.29,65,54,97,56,0,3,1
8.19,57,66,90,58,1,4,1
9.5,77,30,58,78,3,0,1
8.52,80,44,48,35,0,2,0
6.03,58,66,72,44,3,2,1
5.15,72,42,95,90,1,3,0
6.26,60,37,90,84,3,4,1
7.86,89,34,72,46,0,1,1
5.25,76,89,54,94,3,4,1
7.38,97,30,49,60,0,0,1
7.86,69,65,77,75,0,1,1
6.6,76,64,53,70,0,2,1
8.7,91,95,40,57,1,3,1
5.51,96,92,84,77,3,3,1
5.36,66,52,57,40,1,2,0
8.5,96,38,98,77,3,0,1
7.38,92,63,92,59,1,2,1
8.3,72,75,88,52,2,0,1
7.09,99,33,34,96,0,1,1
6.18,89,59,80,47,0,2,1
8.93,84,32,50,77,1,0,1
8.84,78,43,41,62,2,1,1
8.33,96,89,79,52,0,2,1
6.31,84,74,33,93,3,3,1
7.83,68,63,71,94,1,2,1
6.73,60,74,67,97,0,4,1
5.44,57,90,54,91,0,2,0
9.4,70,45,43,85,1,4,1
5.66,61,95,61,90,1,1,1
9.56,68,69,40,61,3,2,1
7.14,63,46,90,66,3,1,1
